Col_0,Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Col_19,Col_20,Col_21,Col_22,Col_23,Col_24,Col_25,Col_26,Col_27,Col_28
7,234,PHI,Patrick Johnson,DE,23,2024,0,0,0,5,4,61,0,0,0,0,0,0,0,0,0,0,0,24,,,Tulane,College Stats
7,235,CIN,Wyatt Hubert,DE,23,,0,0,0,,,,,,,,,,,,,,,,,,Kansas St.,College Stats
7,236,BUF,Jack Anderson,OL,22,2023,0,0,0,2,,15,0,0,0,0,0,0,0,0,0,0,0,,,,Texas Tech,College Stats
7,237,DEN,Kary Vincent Jr.,CB,22,2021,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,2,,,LSU,College Stats
7,238,DAL,Matt Farniok,G,23,2022,0,0,0,2,2,19,0,0,0,0,0,0,0,0,0,0,0,1,,,Nebraska,College Stats
7,239,DEN,Jonathon Cooper,DE,23,2024,0,0,3,25,25,64,0,0,0,0,0,0,0,0,0,0,0,122,1,23.5,Ohio St.,College Stats
7,240,WAS,William Bradley-King,OLB,23,2022,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,,0.5,Baylor,College Stats
7,241,LAC,Mark Webb,DB,22,2021,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,,,Georgia,College Stats
7,242,NWE,Tre Nixon,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,Central Florida,College Stats
7,243,ARI,James Wiggins,S,24,2021,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,Cincinnati,College Stats
7,244,MIA,Gerrid Doaks,RB,23,,0,0,0,,,,,,,,,,,,,,,,,,Cincinnati,College Stats
7,245,PIT,Tre Norwood,DB,22,2022,0,0,0,3,3,32,0,0,0,0,0,0,0,0,0,0,0,49,1,,Oklahoma,College Stats
7,246,WAS,Shaka Toney,DE,23,2022,0,0,0,2,2,26,0,0,0,0,0,0,0,0,0,0,0,6,,1.5,Penn St.,College Stats
7,247,ARI,Michal Menet,OL,24,,0,0,0,,,,,,,,,,,,,,,,,,Penn St.,College Stats
7,248,IND,Will Fries,OL,23,2024,0,0,2,12,12,41,0,0,0,0,0,0,0,0,0,0,0,1,,,Penn St.,College Stats
7,249,LAR,Ben Skowronek,WR,24,2024,0,0,1,7,6,55,0,0,0,0,0,3,26,1,63,644,1,22,,,Notre Dame,College Stats
7,250,CHI,Khyiris Tonga,DL,25,2024,0,0,0,6,2,53,0,0,0,0,0,0,0,0,0,0,0,37,,0.5,BYU,College Stats
7,251,TAM,Chris Wilcox,DB,23,,0,0,0,,,,,,,,,,,,,,,,,,BYU,College Stats
7,252,LAR,Chris Garrett,DE,23,2021,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,Concordia-St.Paul (MN),
7,253,DEN,Marquiss Spencer,DE,24,2021,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,Mississippi St.,College Stats
7,254,PIT,Pressley Harvin III,P,22,2023,0,0,2,4,4,47,0,0,0,0,0,0,0,0,0,0,0,1,,,Georgia Tech,College Stats
7,255,NOR,Kawaan Baker,WR,23,2021,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,,,South Alabama,College Stats
7,256,GNB,Kylin Hill,RB,23,2022,0,0,0,0,0,10,0,0,0,0,0,11,31,0,1,5,0,1,,,Mississippi St.,College Stats
7,257,DET,Jermar Jefferson,RB,21,2024,0,0,0,1,1,9,0,0,0,0,0,21,96,2,5,33,0,,,,Oregon St.,College Stats
7,258,WAS,Dax Milne,WR,22,2022,0,0,0,1,1,28,0,0,0,0,0,1,1,0,15,120,1,,,,BYU,College Stats
7,259,TAM,Grant Stuard,LB,22,2024,0,0,0,6,1,66,0,0,0,0,0,0,0,0,0,0,0,48,,,Houston,College Stats
